# Analytic Sedov solution at t = 0.1 for a cylindrical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 120
#      eblast = 1.0
#      xgeom  = 2.0q0
#      omega  = 0.0q0
#      outfile = 'cylindrical_sedov.dat'
#
#      time   = 0.1q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
    1  5.000000E-03  1.899032E-09  1.031022E+09  7.831775E-01  1.785714E-02  2.402857E+04
    2  1.500000E-02  4.614648E-07  4.242889E+06  7.831775E-01  5.357143E-02  1.541434E+03
    3  2.500000E-02  5.934475E-06  3.299270E+05  7.831775E-01  8.928571E-02  4.298362E+02
    4  3.500000E-02  3.191704E-05  6.134479E+04  7.831776E-01  1.250000E-01  1.853458E+02
    5  4.500000E-02  1.121361E-04  1.746045E+04  7.831782E-01  1.607143E-01  9.888301E+01
    6  5.500000E-02  3.058423E-04  6.401832E+03  7.831805E-01  1.964287E-01  5.987509E+01
    7  6.500000E-02  7.051070E-04  2.776838E+03  7.831872E-01  2.321435E-01  3.943386E+01
    8  7.500000E-02  1.442132E-03  1.357719E+03  7.832041E-01  2.678592E-01  2.757395E+01
    9  8.500000E-02  2.696598E-03  7.261383E+02  7.832414E-01  3.035769E-01  2.016525E+01
   10  9.500000E-02  4.703120E-03  4.163814E+02  7.833167E-01  3.392991E-01  1.527002E+01
   11  1.050000E-01  7.758925E-03  2.524377E+02  7.834580E-01  3.750298E-01  1.188971E+01
   12  1.150000E-01  1.223202E-02  1.601755E+02  7.837079E-01  4.107761E-01  9.470917E+00
   13  1.250000E-01  1.857027E-02  1.055624E+02  7.841288E-01  4.465490E-01  7.688625E+00
   14  1.350000E-01  2.731211E-02  7.183708E+01  7.848089E-01  4.823657E-01  6.342615E+00
   15  1.450000E-01  3.910019E-02  5.024725E+01  7.858707E-01  5.182518E-01  5.304570E+00
   16  1.550000E-01  5.469963E-02  3.599110E+01  7.874799E-01  5.542443E-01  4.489434E+00
   17  1.650000E-01  7.502405E-02  2.632015E+01  7.898577E-01  5.903953E-01  3.839177E+00
   18  1.750000E-01  1.011736E-01  1.960235E+01  7.932964E-01  6.267767E-01  3.313203E+00
   19  1.850000E-01  1.344921E-01  1.483692E+01  7.981789E-01  6.634854E-01  2.882477E+00
   20  1.950000E-01  1.766531E-01  1.139247E+01  8.050063E-01  7.006507E-01  2.525824E+00
   21  2.050000E-01  2.297933E-01  8.860520E+00  8.144354E-01  7.384412E-01  2.227530E+00
